tier,summonerId,summonerName
SILVER,hNze4qjO7QkoorDTTWe0v3G5L96BxJ56d0BMDUhQPI-yBWqn,롤 전적검색 0PGG
SILVER,b98ahkaMkpY9liVouvYCiVLgWZJE4R2HA6T5Xi3NVwWwR_n3,롤체병현
SILVER,JqMx2YHE-vJ_mIppNaeWcUIVFzSMvZfrXsCMQTSRj1n4G6I,싸우면 적진행
SILVER,9kK18l7yrMwrPCdqrPndWppnI5YXihQk9Ohc8z74O-PuO-E8,정체성이탑솔러
SILVER,7Dd5PjwnRj9OZMPI_LtmJHTWH6Ha70sZSwIiGAyqoil_BI0,웃는얼굴친절상담
SILVER,DjlmzoApCTg-b2LG3ZbebyRf4gxVpT0Jq_Xn0wj3vswll5Y,삼류백수
SILVER,s7JbhYNbc2sln-yqvsRlR52eEq_fInYAw1Wm_L7xtpLTgpHZ,재앙시작
SILVER,i6KvYjo9Up6YJmhrO_NMiO9pjZV2ISzQIi0zP9J-238hhUpH,기억안나는데
SILVER,_Yj6VRekKM32Az5Utp3bhju7BQxV3EL2PZQrjwwJPvVn8uTC,보래돌이
SILVER,RtW671d5W_Z5l181U6_LzLd9aVe0hjaCI20ilGOtH36Jv1c,삐뽀사루
SILVER,FRwf0VrEGwcOWA2KZPtAO8BeVm2EDatLkZTQ3o5hnLFXZpX9,슬 픈 맴 무 새
SILVER,wftG2gVsnRBx_VS7G3TnvGYhO8D62V-0dzqeV3b8WjbWjuE4,EL30
SILVER,ozTFVV_dl4NltGv35jJpnDyEW404sNtDos2zU-TlQfh8Bzwj,실딱리형근
SILVER,mMuCXQtxsdG3k1yTrBD5fxbXGVEqVUnm5Dx7NiTYnHap-kz3,나는 침착해
SILVER,1_49g6bgvEzaBpEuHVOp70VDABpPzYEww6gBWlyqguZZ-Y9U,2처형300골드
SILVER,Kj1m7KJvDDXrGsGN5wtSod9a1-iINrb6HxOcWVNsD_qjnr_A,너의자질을볼래
SILVER,5-858EBjAITQdH3Igti_xTLmYcKkLG5pZhbvWC9_T6C0ddU,한 한
SILVER,GiMjpFWxxImCPSVB_14pZX24EFLYAN8IrsyNhRUNDYEATgY,크리스 벙스테드
SILVER,nLdF9YeijqC8VepI-6eGws-NbMKLS0gDFeYGGD4U4txxszCc,JhonYa
SILVER,qyJtjtaQDZupGBeWqrVdcIDpGml0eKYzkhThXEnSEy8XpuBE,원딜하면가렌
SILVER,7zGptfCG8ihRqfF5EGUMCqbMU7PNUaTYmx6F32XfxjJmbilk,거의트롤러
SILVER,D8M-E4IN1Izi4J2_Or8jnR2I-b-AooaHKFYcDw0zJP0o9s_g,chlrkddleksks
SILVER,8HkMuNAjPIDYtpoHNHAlHQ5siBb7qkfSQdmlUqbuMeqRDyZr,도시세형의사랑법
SILVER,EOx_HkXXU7pgNVyvOddEKGWeJQ5Fh5VCSnGy08i98hsfwCB9,공대생은 사기꾼
SILVER,7_6mWG2atUl9u1YtyT4mtUXruONIALGPJyi4w4moxWSpH-Nk,yumikawasinobu
SILVER,ABg-Yr5vbLeVGsJLo-yBCXD9xOQ9t60P6H2c_eLOz2v7CpFW,빔틴틴
SILVER,a9N_Eu-8Z20mPu97wbn-NAs4QUsPdk1-zNMVQZWQ-q3gHRJS,에이징커브인원딜
SILVER,AZS_zzBwpEQVb9Ly45PU44zrai97dqHD-QndW-OqLNjhhOMZ,105번 훈련병
SILVER,Quai3H7joiIXfmKVJSNLbxIc4CYz5TzbRA_qELzOk-tWd-t4,피어나도독
SILVER,brRSoxINJLa9nov-4zGYFlKhniUKKqKc0m0H85LpZRlMzxA,제아야
SILVER,o1W3mZGLpPJEuFG_4t1YKEbRq65qexH89AdrlVBtV4gkJAk,포도알포도
SILVER,U7R-m7BzsEcj35ltjCgHSpU-vAJmAJs6NDL8M80WpsbBxj0,박희장
SILVER,3KNQA8kR6XwVzthLbF0dYpiNDaaXbR06cBpzIVpzHIbUaV8,마용머용
SILVER,oAzYfs_kR7lSFVRvPmmpIAqiBLFd4iQWnoYBl8ReFnJ_IAcq,활 차
SILVER,slfvka6Ef1kBQhiaw7OcGHRVvWrtShd0S2V5ttzMZFLduy1p,문체부 돋음체
SILVER,7tQsCcjXnZKVYLgU37EM7dhkp6-HC4ZlvUOem27bJyTLtaNG,Flutter공부중
SILVER,LPlVY0wwu3kWMrx69e9ajB7QpZKLPheEZf8AwXbDY2bnw5c,우땅바
SILVER,0ruSzN9fmumZPg0wqOAX4YITNoobA91xfoqG4fj8oCfuCW58,케틀버프
SILVER,wFyGQQH6IsEvA8sbKZmwFuHlRDp5HW7NHXPxpxDNwvpatNVV,정글 Bus
SILVER,bmXo3ULXzl9dCD-nH-eUticLF2VhI8UBa9lW3tdR_D79fy5k,통합초딩짱김고추
SILVER,DmJAgCipz8S7xHGp0AJj9rAE8Ybv9IKIMx_sGtiuG_j8kMKp,고순숙
SILVER,LeKpFG7USMRDjrhnVlxzRYwC6QRILYgH5sK517jBrYYB-gM,하리고요
SILVER,Y_MbAhKv-XVrjDp9RsVrLLNYSifosj1IZHT0wYtMt5F2B2I,7NL
SILVER,exMlNoIg36ro5QPUXcZDD9VurMZMXxcsx_4mXJ2NOlfAMXo,HunZii
SILVER,RjePAWbm04w106VwBFnp2xbRvN8XUVcIR6SZsAQg1y_VK3k,inside rull
SILVER,TBmzsiMHPGXVFjgUoAC6HaLCW_HhCu6rcNmJEGF2zXxwSZx5,aefasdf
SILVER,_Yl6VkGW4MaPRNol4t-ksMNp-ZqOq-rrNCM6hHXikI7E9jB2,무지성임건들지마
SILVER,KzXFplxTLUdgkEERLt2PJd4JnZg70t_5a97pL4m0xj131aSm,YOU DIE ME DIVE
SILVER,GoqakVPwjFHR536IESR5j1waTAKAIKTycrtLnJkN8hdRuBaS,석갑산 자연인
SILVER,eIr6XSF3EZHCYOjLRIseN6hgJRN-vEmjl4y6aV1TXWe9WjSz,경북대불주먹
SILVER,5ve20KnNPfjzkXJx7nYoEUhdAZtFSprEZjDeImKwfSufKYQF,can i love u
SILVER,vsXEdKfLJUrc3E9E6vcbweiB4mfNLgmz4A9iugn02eNgFOJY,철의 호흡
SILVER,xyNiCAcNZZhCnXboG9X9znXVwVD6s18ahFJNfd6rA4hDiiTM,fahshg
SILVER,6_y2eKFcUzGOHn43mlmxWPucWefC33dIK6cUrgpDC1Ec420,손형일
SILVER,ThM4N0yVHboURNvlZc9WRb-oJDH_CsuEXpAIG5sp9ONA6xU,아오 슈슈시치
SILVER,f67NdmyRKhOMv8fcqckhrb6z_wakYne1wQPUgEUevRPVrww,딜러요
SILVER,ooFdcP3db5AiNlvEA2SQOyZzwDStwzJLMVaiyW1VEp3Q47R2,밥 맹
SILVER,j_b-d7-gM-DWI0VSDJeDRLBcTP_DMpEG3RIh5cLiS5A9VU7f,난폭한레넥이
SILVER,btgb3z8uiAXlH5FXdj48ovxv5aUp0X0IjU6Nv_Msqq1NnHXL,100081007del
SILVER,fhZXwrLfK38r8HBCPKu9cVg_LUCLKBpiYzSbismlaQ1aVTTD,어린이보호구역속도위반김미르
SILVER,u_Pg90bnq0yuxuImenktlMvhheYDuJ0O2hH6nMGfjvDxraio,현대건설
SILVER,gVYMMucC57CWDtZcnAC4S3GAVQqDj380iA1MtyuEUDJEm34-,나좀멋지지않냐
SILVER,bLAuZjM24tnOs_4woG6BAlA657MaKqqhDXY5zfrfirxxx6Mj,막 교
SILVER,KkIw7qp7FFSj93o-sbiKDz5eCCDDrZP6PbKLM-JIseFkhWY,서공예 백지헌
SILVER,6h0C3rdFsx1yvR-rt_zCkns2G_kKJaq5sILkNASN5QLIIZTg,모래사막바늘도둑
SILVER,Hh8oysIyWsWvlXNYMpSw52g73RvvxpH9CV764lSEf4zXaPVF,Lunatic234
SILVER,ITF-VlPIcNTp40bsgw0InDtWFddQAWubMDV1N2RSfMS6qklO,혀로딸치는탐켄치
SILVER,ExcWc4HQOFQxus-kuxhK9JmySS9r9AO24Ds02cXoYMDB3mxO,BASKOREAN
SILVER,RHY_sKra7Hz3gaojGhpz1SLtjY-x38NWEW_Tby9GI3HNbq8,하하선
SILVER,Q5g_fuqCuafUA19d7ls3vDN7S7GCiBK3d_a-HBgrHShybZA,새 칸
SILVER,ccggyHgY7MgRugB-g4S9Yg8gTmHJD0k5bqqjkucLu22B1_U2,TAKE THE RISK
SILVER,ty_VnG2Cvmb-qwKKn8_2C_XZyCu3LluSEFV3gxkedioJpdlR,덜화에요
SILVER,Y0r3ggzemMqQOJjHEswubK5AVrUtLxptZdU4F6IibXQM7NDf,13212315
SILVER,ozdH4rgxPBrZNFyKdl4kLohSDxuQS-tvKc9if8UbDZPQDp84,100091238del
SILVER,eFika92MCbybgpBrP8PENdE-aDqqKyluH_bvYO6fiDpRzis,연남동테일러커피
SILVER,V5uPvs6-DxTvFaubMQP22a0NxrjfNyRe2UN_DiM6f_VOKSDv,정수핫
SILVER,IPH5RHhQhfB7KVxrIxA5sQc1d8ZpyztYWsERAG-qOPe4cByu,임실왕초
SILVER,mWOYAX3cmOHkwMjdl3Mjn8przNRvLBKZkjitiDekABRzXfyV,준수 왕자 지
SILVER,n06L7aUH9qZTY5z0ux5lSSTTg_zXzXlKfB4k18psq9NDV1BM,09년생자야
SILVER,Kw0XxrOcUiqsYzXLJjHKpNksqh-npmKftjG_vqY-ChdWzlit,그저재밌는거임
SILVER,iGKJ_NxX0iy8AChE4FyJqbmyoIzMhv5Lp-PAotyP3ScBEDsr,akrldird
SILVER,s2m4WpZ_HzJurjcgH0VMNQsajDNLEyUQQhp_hwUxE2dXEr5Q,빨주노초파보양지
SILVER,mqvj5nU3JyRghlR1CmeU0DFS_qtkoMwdc68VDtzAVxtgluqQ,백샤오
SILVER,YAnSUFhBXnl-YzNjxlyMBih9jt5l071jXU5A0MznWUOdi23A,9dul
SILVER,yRQLuu_8pyPgoKmGANIwAlBQYKTyONhkiLwzGcI8pIMmOvc,협곡의 정석
SILVER,OzsqVmHk_c29ctUv9Z8Houj6Yy-iKBurM9HKzMKkAFlHvcgX,미소짓는우현
SILVER,rcIjQlW2aJTsjFC5KA-JbJJAzBTXkAyUG7WkHrKc8eh9aNJ-,여자흑인
SILVER,acnTmxOVi187jDM5K8RUShF--XAQcEp_0VnBvnWD3ERRppk,챔피언쉽 홍준표
SILVER,-Lb6w5BWYdLXcnTOudU81fAA7kVvRy-PIgCSgHxF4shG4vm2,모기버섯이다
SILVER,My8TZHaAgzYM1x2-TpdjONRR-NpB2ADKiXROGHK864TVqwPG,우리원딜이좀그랩
SILVER,2PV0vnZizWIRQDTEcAVSDhiGLYw8EIAhHI9cAV5w2g5ehNwy,최 서 애
SILVER,A1qXcKYe3tG8jL6PyjoGTAGsq8UPbhskY9Uj-RdbUqWtcPLd,마 아
SILVER,GBX6msW18hhC3iyu4NC7kFeEXMs9W6pWCUc45ocPkQqls-U,어흥하고우는오리
SILVER,HogrvQIZgljYbKy7YqpHmpMGhGrcVWIBoKIkqlBuZsSEURyF,aksjrtjmqnzw
SILVER,djNFIUHeoRgQJHX27T70gmwrIh8TLKkNbaehVyCd-jGoFNGj,pjh3312
SILVER,UroOpXtGyyeUhGrjI4KuNNcrW3Ng0rWx_XlZqDyxaNvCxQo,다리털왁싱
SILVER,6oL9HYrn814CxHWWxrM_xM8VsMJ5tUyJpQeGJR4iGS-CYYI,빠  구  뤼  신
SILVER,L1irMcxWjWyew4Nh4QX2nN-BZ8fZBG5jaVCnl66Q4EoPhCo,날뛰는사나이
SILVER,PHqC4flh2eqqrA8IBVx-fNCuNnwjkvhVoaNsZ9Hl8gTZZ5A,황수거
SILVER,hPtVS3g1CdKCbMscE6JRXJ4ipTK1_xHXr_QxePDz1cjE6Tri,한문철 말파
SILVER,9LIfk2qrV1UdYzfuqNpdH2SzcVel1ELF0Sd_S4yk47jDBLvK,안녕칭구들12
SILVER,jP2-suIwXWldtVB8-aGBrhJBJXsOCwErjw9Y8knfkUYq6r7I,liliilillij
SILVER,pVUo36TjbIWt5ICW76d_yKTXzIWQkdSnJ_rw23jI7RDu82PF,didu
SILVER,ohlY2e9M8VXf79XE6rk3inPO4Bxlmv2BgDepAuCvnGbhj7qq,여새국
SILVER,Zqkljb-Pe57dVwIFEVd_ZG_ztRawy-poLSlYalwSrt77RUZm,monkeyD Howon
SILVER,tWSOGTZ5ISm7ir6XP6pfwrXVOC-UVnMFDaS1mkLztfB9T-s,Sasinv
SILVER,SqMu9sA1jXzmwky9WvutP4m0GhjTf5vG7j9hRaSu5876iFs,Ssoseu
SILVER,Rn7gERH8Iwm9en0R_TPqx4iuaXOUocZG7CnACqx5bNC7iDw,웨하스를
SILVER,DnUpro9GKLtmn5DbhjbIZxKKVn0ZX8rzsJWDR7Gr1D5RRs0,해햇녀
SILVER,1EbcYUlV92PtSmQ8DDkCzm4k946MIzTLrZXzJan9IQpb4gA,여친이랑하는계정
SILVER,3urVgePJPttrcR_lfJOQ3gIpIpQ15pQ7vOUnmMAgU82yN1Q,주왁x구옥x주희
SILVER,EJb__7WE9N6_pSNKnzAJXM2SLHe39HpRX25K8ks15TBGUVKs,븅신딱따구리
SILVER,K10UjzFAq3F03qVCVLUW8Enwax18ykMVqefJ9rWfdf4IAnUc,개껌도둑이유미
SILVER,xEhxmMyD2gtL-9q43GGF7K6rJMAHAm5OPXqnRR0Y7mC7mvnU,크리스티아누희승
SILVER,UBxhIld_aYdrsuWUm43Q8J-iXBUWZ5YTfZ3-Ew5LKFB9E24h,2원딜2
SILVER,c_ba0Artd6Wq4uYqlDAErCxw-SNkPcP0CRPfyxgRfj_gef9S,공부 진짜로 했어
SILVER,k1DZpxCq3AZjzuh0sJcKIwDfGZWv6lbH0ffUBfiUZMo1CNWe,골드서포터장인
SILVER,agQ0z_123i-FMqmLjEZp2L0rRu-d9DxQTlrgdIYkgSV8APLO,Ribbeuni
SILVER,4tK8uuQ_iF2wJyU7eTqqs99MAw9BqYgjt25hrXzOduOFC3xR,바위형 스커지
SILVER,h5b-70JfRNzcbU-CpYA4nXwKUIOSgYglzmbE8TsBrwoplvJW,gray eclipse
SILVER,i9TG5B2Z0UnhV_He1BNUBw82z5O20vpfeHXGlIneviJ7Kdd5,freeze river
SILVER,LKtzVHy4e_aE5OPwlMUnJwy0Qf0-2QKVIMCi_NB7F1LJ56Mv,훈수환영
SILVER,99iaQA89OB39xgE5oGbiqWTa4XFEQvsnZpZ814vJX4C41f5I,안산 조진세
SILVER,kN4A9Hy2099mcen5av5UTSO934C2HOMM7DK5yL9Ej974pHTR,오만출
SILVER,pmx8XRDsT4aX-sePLfZw93JPPSH9XlvtYgQe2eKSEPJ07hAr,axones
SILVER,E6btt7HXa-iXzdUTMq0t-Op_ZWodMerDF2QZ3gAp0z14xPqs,승택이구른다
SILVER,oOy7DwD-ToDavFa8Z0a5Qhjo2kzP_pemlkGgv2PNw59G3jlS,옆집무지개팬티
SILVER,zkZX7BPljXvc8pbyhI4BhfzsQ-4MPNSIxUoPGBg3pSO3yxI,무싸트 티모 과정
SILVER,Asqq50ByyfyjXsfUd2JFzQwq0tdZcZR-Uc2XMI_Z94d8t4s,래원보다재원
SILVER,6rmf8AxYWFmqAc2uRbA9IjzRamdO_EZnKKgKYWFf8J55Fpg,luujuc
SILVER,MhfaeLTpdTLxtgJvpJ95mONpO2Zp26nQh_eLujJiJA7keTLx,김해고불주먹
SILVER,LgzXg_qacoUDZuP2FA9GVCB4CoUu5A_I9tNHncmVO5-hyD8V,슬픈 밤
SILVER,MOHquMuAs6ENsCgmHTzT5O3XG6y0G8SC22viYqu6RdkwRnc,머머리원펀맨
SILVER,i40zP6KaYK6fm323NBcwoymoxDcZ60fjCfdv4NNUDBW2sRsA,자극하지마 나를
SILVER,Qegewzj196EnFlec83W4qPeR3TyhQaeZ9jpV-N1xUJA9OKAU,NarrChung jinsol
SILVER,tW-zGOGMgNy5sMHZPiIQCjUY2YN7Rmjrr1BZmaN5XNU1KL4E,에코버프좀요
SILVER,7eYiwiKa-t4KLczYwJntNxreykEoNhU6LGsDnQG3b8idrXz1,마이베인티모
SILVER,HHwEl3y07frvNo0TcBUrydPypOeGjjIlj7Em7dGFPWS7Cr0,박구링
SILVER,FuJaQ7lAiwdBYerUvLbAn3E0UlFM8fRI5vyvU--wgJyIf4aG,lrisAgat
SILVER,xToUD0unqKwrSow8Dp_Tqpl7keOCmVZBJolr1x-cUjm4PTMZ,18 8 1998
SILVER,gfBRnrR0HopqAqlKs4itDcE3Dqs0EUWneWaygTS8yFuTWQY,빛 선비
SILVER,UXnXoC-3QPAhb8Q38WO7jbFtaUYn3wVH7emoJ774w3oAxx0,KR 티모
SILVER,SgZem5_LYEC2xjJpL-YyC5bkPrApqUBhNEOufpLIlsWMEN4,zookik
SILVER,cB5O8EirZVdB7rNXn3h1NDPKMcvzgQUCvQF3bH7Q-0-yrlbR,18학번조진아
SILVER,3uLe4BQ9TxLsCYTbEEwoaOoIJfR3fVGpOaHk4t086osT-zsw,안녕나는누굴까
SILVER,DM8CvD0zUlUpk5QerGbZ0AXk8k7hX1MpmUuGaq-o71oZoE2Y,만코만은니자
SILVER,4EVMWuLah_LFyx5CTc2fLgZDSa28MoFsyqRPMoIPLYjB8Cfj,느그오빠다
SILVER,vqYX5xA3m-YJS-CkkI4y8RLQh1lqWeuuPqENkKW2CnrJUE6o,100160679del
SILVER,Q_bWrsvNy_-NTQMiJYLXD-1amdLcp8y_AWgaWIm2CmgQW00R,스파게티유발협곡
SILVER,39uWGkFqXTvNsa6Qg8_ho8XSDYfEIyXZzC5XRlQwgsLRi7_j,1월29일
SILVER,gw5YdW14VUa5Dk0H_Q0csqHE7k6UtojD1ZfRZI_wSfPUIwI6,Aiohsd
SILVER,XiYccMXh2xJDnBYCFQqTlS3-lj3-4AUu-118TdBbwzDC8Z3V,광주소방
SILVER,caeSxEkwzYlaG7QLcFvOyVM2X7mYKnBnA5wwZp19sHhfr9LU,뽐 빵
SILVER,qrtfBgUOwRLOW4vEJ7aYhlfephKQMBK7ldkNCPILXYrx01hy,겨갹갸격
SILVER,NgAFtRxrjyunlFsNpkE9vSWZLXBnW9b878P_PtQTdyvZuDVO,국가대표손인욱
SILVER,M4qO3Ew3AApsav9gv3Sowa45UljbhkoJf3i0gn7v8oTdEuXr,부건이
